Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags,Type,Popularity
Muckross Friary,http://www.heritageireland.ie/en,3.53647E+11,-9.504292,52.018083000000004,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins",Walk/Nature,8.318823567530707
Saltee Islands,http://www.salteeislands.info/,,-6.588815386,52.17249931,Wexford,Kilmore Quay,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Island,Offshore Island",Walk/Nature,7.027442555029566
Blessington Street Basin (Dublin's Secret Garden),http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/blessington-street-basin,+353(0)16612369,-6.269691598,53.35722262,Dublin,Dublin City,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Gardens,Garden",Walk/Nature,6.358928368099901
Inish Beg Island,http://www.inishbeg.com,+353(0)2821745,-9.352918849,51.52125347,Cork,Baltimore,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink",Walk/Nature,6.791535947474179
Dunloe Castle,https://killarney.ie/listing/dunloe-castle,3.53647E+11,-9.627419,52.059671,Kerry,Beaufort,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,6.1285215272814
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,3.5342E+11,-6.675047999999999,53.650358999999995,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,5.123886548512595
Kanturk Castle,https://www.castles.nl/kanturk-castle,3.53214E+11,-8.9027299,52.164382,Cork,Banteer,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.840965231082564
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,-9.106741,52.38393789999999,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.685846602586662
Moygara Castle,http://www.loughgaralakesandlegends.ie/lough-gara/moygara-castle,3.53719E+11,-8.4751904,53.9718301,Sligo,,Ireland,"Castle,Historic Houses and Castle",House/Castle,3.576224613635807
Teach Mhuiris,https://www.gaothdobhair.ie/en/tourist-attractions-gweedore/teach-mhuiris,3.5375E+11,-8.292346461000001,55.07528477,Donegal,Derrybeg,Ireland,"Castle,Historic Houses and Castle",House/Castle,2.59317825269713
Brideweir Hous,https://www.brideweir.ie,3532536386,-8.1550475,52.0869699,Cork,Conna,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.288261016310034
Lynch's Castle,http://galwaycity.galway-ireland.ie/lynchs-castle.htm,,-9.0522862,53.273165799999994,Galway,,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.373841026375949
Lackeen Castle Lorrha,"http://www.megalithicireland.com/Lackeen%20Castle,%20Tipperary.html",3.53863E+11,-8.073586599999999,53.0887302,Tipperary,,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.941745904830291
Primrose Hill,,+353(0)16280373,-6.450529,53.353489,Dublin,Lucan,Ireland,"Castle,Historic Houses and Castle",House/Castle,2.724669935297193
Cablemaster's Residence,https://atlanticvilla.ie/cablemaster-house,3.53872E+11,-10.289066,51.922393,Kerry,Knightstown,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,7.931676504179594
Eighty Two Merrion Square,,+353(0)16761173,-6.251328,53.339313,Dublin,Dublin City Centre,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,5.060904296252019
Parkavonear Castle,http://www.megalithicireland.com/Parkavonear%20Castle.html,3.53647E+11,-9.5550062,52.0759354,Kerry,,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.772244795414369
Dolly's Cottage,https://www.facebook.com/DollysCottage,3.53719E+11,-8.5841759,54.270777,Sligo,Strandhill,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.0308253440795525
Killaghy Castle,http://www.castlesinireland.com/castle-in-tipperary-killaghy-castle-tipperary,,-7.5144163,52.5172294,Tipperary,Mullinahone,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.698344457701236
Leap Castle,http://leapcastle.net,3.53579E+11,-7.8084534,53.0279902,Offaly,Leap,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.320411069091477
Nolans Castle,http://www.enniscrone.ie/castle,3.53719E+11,-9.0855335,54.2161835,Sligo,Enniscrone,Ireland,"Castle,Historic Houses and Castle",House/Castle,8.264540014931828
Granagh Castle,https://visionsofthepastblog.com/2017/08/09/granagh-castle-kilkenny-ireland,,-7.162739999999999,52.282509999999995,Kilkenny,,Ireland,"Castle,Historic Houses and Castle",House/Castle,3.55384626796981
Garryhill House,https://www.buildingsofireland.ie/buildings-search/building/10301651/garryhill-house-garryhill-county-carlow,3.536E+11,-6.8480669999999995,52.678048,Carlow,Bagenalstown,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,4.26235947407635
Carlow Courthouse,http://www.igp-web.com/Carlow/courthouse.htm,,-6.931212085,52.83821114,Carlow,,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,4.612399303669996
Ballynahow Castle,http://irishantiquities.bravehost.com/tipperary/ballynahow/ballynahow.html,,-7.8785802,52.6930716,Tipperary,,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.352686752288038
Clogher Castle,https://www.cloghancastle.ie,3.53719E+11,-8.51182,53.9373,Sligo,Monasteraden,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,6.661594688825867
Minard Castle,http://www.megalithicireland.com/Minard%20Castle.html,,-10.110451800000002,52.126024900000004,Kerry,Kilmurry,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.709119106505023
Ballymalis Castle,https://www.inspirock.com/ireland/killarney/ballymalis-castle-a58204201,3.53647E+11,-9.6924377,52.0845424,Kerry,,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.817277999504066
Gleninagh Castle,,,-9.205829,53.1377228,Clare,,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.4406796954712195
Conna Castle,https://www.castles.nl/conna-castle,3.53862E+11,-8.1016545,52.0945205,Cork,Conna,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.50739672326812
Ballymote Castle,http://www.megalithicireland.com/Ballymote%20Castle.html,,-8.519724499999999,54.087625,Sligo,Ballymote,Ireland,"Castle,Historic Houses and Castle",House/Castle,3.5414369392294605
Carrigogunnell Castle,http://www.megalithicireland.com/Carrigogunnell%20Castle.html,35361317522,-8.741821,52.646438,Limerick,Limerick City,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,3.477215061249543
Cork Courthouse,http://www.courts.ie/offices.nsf/bae2125da4ef043080256e45004d04f3/0a9a7f907f3e33fe80256e450050b94a?OpenDocument,3.53215E+11,-8.478810699999999,51.89781,Cork,,Ireland,"Castle,Historic Houses and Castle",House/Castle,6.39400804307547
Berkeley Forest House,http://berkeleyforesthouse.com,35351421361,-6.873299052999999,52.41402524,Wexford,New Ross,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,6.32773353322751
O'Donovan's Castle,https://www.castles.nl/castle-donovan,3532821489,-9.2827815,51.692145000000004,Cork,,Ireland,"Castle,Historic Houses and Castle",House/Castle,4.7324802694757615
Carrigaphooca Castle,https://www.castles.nl/carrigaphooca-castle,3532620544,-9.028399,51.908549,Cork,Macroom,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,4.845416270279305
Mallow Castle,https://www.castles.nl/mallow-castle,3.53859E+11,-8.6390052,52.1338549,Cork,Mallow,Ireland,"Castle,Historic Houses and Castle",House/Castle,5.19111831153225
Ballynacarriga Castle,http://www.castles.ancientireland.org/ballinacarriga/index.htm,3.53239E+11,-9.031647999999999,51.705571,Cork,Bandon,Ireland,"Castle,Historic Houses and Castle",House/Castle,3.8620849474586207
Fitzmaurice Castle,https://www.ballybunion.ie/things-to-do/attractions/ballybunion-castle.html,3.53667E+11,-9.677463099999999,52.5120069,Kerry,,Ireland,"Castle,Historic Houses and Castle",House/Castle,6.9214587022540055
Coppinger's Court,"http://www.megalithicireland.com/Coppinger's%20Court,%20Cork.html",3532821489,-9.0668602,51.5716479,Cork,,Ireland,"Castle,Historic Houses and Castle",House/Castle,6.681687371085566
Ballinafad Castle,http://www.megalithicireland.com/Ballinafad%20Castle.html,,-8.335818,54.0259909,Sligo,Ballinafad,Ireland,"Castle,Historic Houses and Castle",House/Castle,3.671048180342999
Macroom Castle,https://www.castles.nl/macroom-castle,3532620544,-8.961492,51.904995,Cork,Macroom,Republic of Ireland,"Castle,Historic Houses and Castle",House/Castle,5.106953102028521
Desmond Castle and  Wine Museum,https://heritageireland.ie/visit/places-to-visit/desmond-castle-kinsale/,3.53215E+11,-8.5246615,51.7072605,Cork,Kinsale,Ireland,"Castle,Historic Houses and Castle,Museums and Attraction",Museum,3.8964811071113616
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,3.53647E+11,-10.258626699999999,51.9489036,Kerry,Cahersiveen,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,6.623914906842941
Black Castle Wicklow,"http://www.megalithicireland.com/Black%20Castle,%20Wicklow.html",,-6.030844999999999,52.9811225,Wicklow,,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,7.655535274387533
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,6.1115177148149975
Bullock Castle,http://www.dlrtourism.ie,+353(0)1280 6964,-6.1086290000000005,53.285016000000006,Dublin,Dalkey,Republic of Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,3.849912504277081
Carlow Castle,https://carlowtourism.com/carlow-castle-2,3.53599E+11,-6.935935000000001,52.8362564,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,5.379520822715032
Clonmore Castle,"http://www.megalithicireland.com/Clonmore%20Castle,%20Carlow.html",,-6.5751246,52.8282856,Carlow,Hacketstown,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,7.220132482741259
Carlingford Castle,https://carlingfordheritagecentre.com/portfolio/king-johns-castle/,3.53429E+11,-6.1868336,54.0432392,Louth,Carlingford,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,2.7599906616994763
Kilteel Castle,http://www.megalithicireland.com/Kilteel%20Castle.html,35345521240,-6.5274876,53.2326787,Kildare,,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,6.878475060376991
Michael Collins Birthplace,http://www.michaelcollinscentre.com/,3.53239E+11,-8.980502699999999,51.6165156,Cork,,Ireland,"Castle,Historic Houses and Castle,Ruins",House/Castle,6.634653397260447
Annagh Church,,3.53667E+11,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.716756340298394
Corcomroe Cistercian Abbey,http://monastic.ie/history/corcomroe-cisterican-abbey,3.53657E+11,-9.0540065,53.1268421,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.867393445313054
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,-8.975399000000001,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,7.32099936295452
Findlater Church,,+353(0)18378600,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,3.1202599706415595
St Iberius Church,,,-6.4621424,52.3391991,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.883274910115394
Killary Monastic Site,,,-6.546373,53.707926,Meath,Slane,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.33733602287894
St Multose Church,,3.53215E+11,-8.525568,51.70585,Cork,Kinsale,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.288181227409173
Duleek Abbey,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/duleek-abbey,3.5342E+11,-6.4221752,53.65475010000001,Meath,Duleek,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.5926192448135605
Stradbally Medieval Church,,3535841741,-7.460793487,52.13043387,Waterford,Stradbally,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,7.502615324798668
Dún An Óir,"http://www.megalithicireland.com/Dun%20an%20Oir,%20Smerwick.html",,-10.4149455,52.190196500000006,Kerry,Smerwick,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.10187418086063
Kilfane Church,,3.53568E+11,-7.118503,52.555068999999996,Kilkenny,Thomastown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.151421368816974
Bective Abbey,http://monastic.ie/history/bective-cistercian-abbey,,-6.7028943,53.582474100000006,Meath,Ballina,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,2.486683346733808
Kilcooley Abbey,"http://www.megalithicireland.com/Kilcooley%20Abbey,%20Tipperary.html",,-7.5713094,52.670768599999995,Tipperary,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.427576662158062
St Michan's Church,,35318724154,-6.275396,53.347457999999996,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,9.21310763216253
Temple Cronan Early Christian Church,,3.53657E+11,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.23924064530724
Red Abbey,http://www.corkpastandpresent.ie/mapsimages/corkphotographs/corkcameraclubhistoricalphotos/redabbeystreet/,3.53215E+11,-8.4723587,51.8940883,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.138335893416851
St. Patricks Well - Clonmel,,3.53526E+11,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.895998532077404
Carran Medieval Church,,3.53657E+11,-9.076044900000001,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.8029923598348585
Lislaughtin Franciscan Friary,,3.53667E+11,-9.47861,52.547334,Kerry,Ballylongford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.831345407017944
Kilcrea Franciscan Friary,http://ovensparish.com/kilcrea-abbey/,3.53215E+11,-8.709483,51.859982,Cork,Ovens,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,7.312303776841265
Kilkieran High Cross,http://www.megalithicireland.com/High%20Cross%20Kilkieran.htm,3.53568E+11,-7.380827799999999,52.397940000000006,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.141232889745305
St Johns Priory,,3.53568E+11,-7.248489188,52.65368264,Kilkenny,Kilkenny City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.449455106730613
Ballindoon Abbey,http://www.megalithicireland.com/Ballindoon%20Priory.html,3.53719E+11,-8.323266467,54.08492133,Sligo,Ballymote,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.094055077365555
Tullylease Church And Cross Slabs,http://www.irishstones.org/place.aspx?p=861&i=12,,-8.9402469,52.316655,Cork,Tullylease,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.431254420680937
Kilnaboy Medieval Church and Round Tower,,3.53657E+11,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.807672931510534
St. Werburgh's Church,,+353(0)14783710,-6.269412,53.342932,Dublin,Dublin,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.325687549477011
Dominican Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Dominican%20Friary,%20Tipperary.html",,-8.1257745,53.0908735,Tipperary,Lorrha,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.430222654486747
St Columba's Church,,,-6.8796990000000005,53.727540000000005,Meath,Kells,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.280783806394092
Quin Abbey,https://www.clare.ie/do/quin-abbey/,35391844084,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,2.751565791377388
Knockroe Passage Tomb,http://www.megalithicireland.com/Knockroe%20Passage%20Tomb.html,,-7.3995595000000005,52.43190920000001,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,7.0305747574089175
Cloyne Round Tower,http://cloyne.ie/about/round-tower,3.53215E+11,-8.1202974,51.8620116,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.325878026927275
Skryne Church,https://www.skryneandrathfeighparish.ie/,3.53047E+12,-6.5631088,53.58598520000001,Meath,Skreen,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.346899375835227
Rattoo Round Tower,https://www.gokerry.ie/rattoo-round-tower/,,-9.650194,52.442665100000006,Kerry,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,3.7950971506177225
Carrowtemple,http://www.earlychristianireland.net/Counties/sligo/carrowtemple,3.53719E+11,-8.517817239,53.98433101,Sligo,Gurteen,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.709055797052814
Ballybeg Augustinian Priory,https://buttevantheritage.ie/poi/ballybeg-priory/,,-8.6698297,52.21953370000001,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.449774570777415
Castlelyons Dominican Friary,http://irishantiquities.bravehost.com/cork/castlelyons/castlelyons.html,,-8.2335,52.089393,Cork,Castlelyons,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,2.9790290469893854
Killeshin Romanesque Doorway,,3.53599E+11,-6.997807671,52.84793949,Carlow,Killeshin,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,7.0913937765509285
Kyrie Eleison Abbey,http://homepage.tinet.ie/~abbeydorney/Kyrieeleisonpictures.html,,-9.687159199999998,52.3534185,Kerry,Abbeydorney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,3.598129830480735
The Abbey Of Mount Saint Joseph,http://www.msjroscrea.ie/,35350525600,-7.855697999999999,52.963705000000004,Tipperary,Roscrea,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.245406906319034
Culleenamore Middens,http://www.carrowkeel.com/sites/coolrea/culleenamore.html,,-8.609237599999998,54.260578,Sligo,Strandhill,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,3.1329132024993194
Leac an Scail  - Kilmogue dolmen - Harristown Dolmen,http://www.megalithicireland.com/Kilmogue%20Dolmen.htm,,-7.261723,52.402923,Kilkenny,Knocktopher,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.463949554248737
St. Mullins Ecclesiastical Village,,3.53879E+11,-6.929015936,52.49129964,Carlow,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,3.366008687517921
Ardmore Round Tower And Cathedral,http://roundtowers.org/ardmore/index1.htm,,-7.72603896,51.94868846,Waterford,Ardmore,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.87340108132855
Tullaherin Round tower,,3.53568E+11,-7.1298504000000005,52.57935620000001,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.192982129632749
Carrowkeel Megalithic Site,http://www.megalithicireland.com/Carrowkeel%20home.htm,,-8.387667137000001,54.07453456,Sligo,Carrowkeel,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,2.7862042696837466
Augustinian Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Augustinian%20Abbey,%20Tipperary.html",,-8.121999159,53.08941392,Tipperary,Lorrha,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,0.8879402381161148
Drumcliffe Round Tower And High Cross,http://www.megalithicireland.com/High%20Cross%20Drumcliffe.htm,,-8.4959115,54.326283499999995,Sligo,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,5.303074966536373
Kilree High Cross,http://www.megalithicireland.com/High%20Cross%20Kilree.htm,,-7.269553999999999,52.5181956,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,6.376704175000034
Dunmoe Castle,http://www.navanhistory.ie/index.php?page=dunmoe-castle-2,3.53875E+11,-6.637330800000001,53.673990100000005,Meath,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.868077156009458
Glanworth Castle And Dominican Friary,http://irishantiquities.bravehost.com/cork/castlelyons/castlelyons.html,,-8.354436999999999,52.1882374,Cork,Glanworth,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery",Church/Monastery,4.942000332771272
