Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
197,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
217,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
220,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
222,FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
229,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
254,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
257,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.75,1.18,0,0.37,4.31
260,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
267,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
272,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
274,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,PS3,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
276,FIFA 12,X360,2011,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
281,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
285,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
288,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09
290,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
292,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
296,Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
298,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
300,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
302,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
304,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
305,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
308,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
310,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
311,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64,3.88
314,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
321,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
323,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
325,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,1.03,0,0.36,3.78
327,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
328,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,1.47,0,0.32,3.76
330,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
332,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
337,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
344,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,0.35,3.65
345,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
348,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
350,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
352,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
366,Battlefield 4,X360,2013,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53
367,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
370,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
372,Resident Evil 5,X360,2009,Action,Capcom,2.11,0.94,0.12,0.34,3.51
374,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
376,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
379,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
380,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48
382,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.26,0.89,0,0.3,3.46
383,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
385,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
387,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
388,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42
395,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38
396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
402,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34
406,Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
411,Destiny,XOne,2014,Shooter,Activision,2.13,0.92,0,0.23,3.28
413,Wii Music,Wii,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
414,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
417,FIFA 16,XOne,2015,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23
418,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
419,Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
425,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
426,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
428,Dance Central,X360,2010,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19
430,Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
431,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
439,Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
440,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12
448,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
449,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
450,FIFA 15,X360,2014,Sports,Electronic Arts,0.78,2.02,0,0.3,3.11
454,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
458,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.94,0.86,0.03,0.24,3.07
459,Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,0.29,3.05
460,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
462,Saints Row 2,X360,2008,Action,THQ,1.94,0.8,0.02,0.27,3.03
464,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.07,0.08,0.47,3.02
468,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31,3
469,NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.6,0.21,0.01,0.19,3
472,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
478,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.97
479,The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0,0.29,2.97
480,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0,0.38,2.97
484,Street Fighter IV,X360,2009,Fighting,Capcom,1.82,0.71,0.15,0.26,2.95
488,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,2.94
490,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,0.27,2.93
491,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
494,FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9
495,Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
497,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.9
499,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.51,0.06,0.61,2.89
502,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.54,1.07,0,0.28,2.88
506,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.87,0.77,0,0.22,2.86
507,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.53,0.16,0,0.17,2.86
509,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
513,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.4,1.14,0,0.31,2.85
514,FIFA 16,PS3,2015,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85
515,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
516,BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83
517,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.52,0.09,0,0.22,2.83
518,Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.28,1.05,0.07,0.43,2.83
523,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1.05,1.25,0.03,0.48,2.81
526,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.8,0,0.26,2.8
529,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.45,0.88,0.09,0.38,2.79
534,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0,0.48,2.79
539,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
541,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,1.2,0.98,0.17,0.43,2.78
543,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.24,1.2,0.04,0.3,2.77
544,Saints Row: The Third,X360,2011,Action,THQ,1.25,1.15,0.07,0.3,2.77
547,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74
550,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
551,Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
554,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
556,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.42,0.11,0,0.16,2.69
558,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.38,0.12,0,0.18,2.69
560,Skate 3,X360,2010,Sports,Electronic Arts,1.46,0.98,0,0.24,2.68
563,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68
564,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68
567,Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.64,0,0.25,2.67
572,Skylanders Giants,Wii,2012,Action,Activision,1.56,0.88,0,0.22,2.65
573,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
576,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.87,0,0.24,2.64
578,Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,0.65,2.63
579,Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24,2.63
580,God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.7,0.46,0.06,0.41,2.63
582,Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62
583,Medal of Honor,X360,2010,Shooter,Electronic Arts,1.55,0.81,0.04,0.21,2.62
584,FIFA Soccer 10,X360,2009,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62
585,NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62
588,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6
590,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,0.93,1.12,0.08,0.45,2.59
593,LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
594,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
595,Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,1.04,1.24,0.03,0.27,2.58
596,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58
600,Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22,2.57
604,Madden NFL 13,PS3,2012,Sports,Electronic Arts,2.11,0.23,0,0.22,2.56
