Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Type,Popularity,Capacity
Racket Hall Hotel,http://www.rackethallhotel.com,+353(0)50521748,-7.760378,52.958778,Tipperary,Roscrea,Republic of Ireland,Hotel,5,235
Bloomfield House Hotel and Leisure Club,http://www.bloomfieldhousehotel.ie,+353(0)449340894,-7.362404852,53.48821031,Westmeath,Mullingar,Republic of Ireland,Hotel,4,202
Inishowen Gateway Hotel,http://www.inishowengateway.com,+353(0)749361144,-7.457001347,55.12579789,Donegal,Buncrana,Republic of Ireland,Hotel,4,286
Park Hotel Kenmare,http://www.parkkenmare.com,+353(0)646641200,-9.581165861,51.87831348,Kerry,Kenmare,Republic of Ireland,Hotel,4,264
Town House Hotel,http://www.thetownhousehotel.ie,+353(0)45879226,-6.671920335,53.21625044,Kildare,Naas,Republic of Ireland,Hotel,5,142
White Sands Hotel,http://www.whitesandshotel.ie,+353(0)18666000,-6.124297187000001,53.43554579,Dublin,Portmarnock,Republic of Ireland,Hotel,1,118
Granville Hotel,https://www.granvillehotel.ie/en/,+353(0)51305555,-7.112330238999999,52.26206606,Waterford,Waterford,Republic of Ireland,Hotel,3,280
An Doilin Hotel,,+353(0)91595169,-9.604739,53.261396999999995,Galway,Carraroe,Republic of Ireland,Hotel,5,173
Berehaven Camper and Amenity Park,http://www.berehavengolf.com,+353(0)2770700,-9.860045,51.654244,Cork,Castletownbere,Republic of Ireland,Camping,4,94
Lough Rynn Caravan and Camping Park,,+353(0)719631022,-7.862215022999999,53.89920983,Leitrim,Mohill,Republic of Ireland,Camping,2,34
Tree Grove Caravan and Camping Park,http://www.treegrovecamping.com,+353(0)868308845,-7.229414,52.637859999999996,Kilkenny,Kilkenny City,Republic of Ireland,Camping,5,37
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260330999999999,51.541699,Cork,Skibbereen,Republic of Ireland,Camping,3,93
Bayview Caravan and Camping Park,https://www.goldcoastgolfresort.com/bayview-caravan-park.html,+353(0)5845100,-6.999519,52.158887,Waterford,Dungarvan,Republic of Ireland,Camping,3,135
Lakeside Caravan and Camping Park,https://lakesidecaravanandcamping.com/,+353(0)719852822,-8.172267,54.497341000000006,Donegal,Ballyshannon,Republic of Ireland,Camping,3,81
Strandhill Caravan and Camping Park,http://www.sligocaravanandcamping.ie,+353(0)719168111,-8.605472,54.271988,Sligo,Strandhill,Republic of Ireland,Camping,3,124
Flemings White Bridge Caravan and Camping,http://www.killarneycamping.com,+353(0)646631590,-9.475904065,52.05711322,Kerry,Killarney,Republic of Ireland,Camping,5,85
Fossa Caravan and Camping Park,http://www.fossacampingkillarney.com,+353(0)646631497,-9.585609,52.070824,Kerry,Killarney,Republic of Ireland,Camping,3,150
Glengarriff Caravan and Camping Park,,+353(0)2763154,-9.555153169,51.7481265,Cork,Glengarriff,Republic of Ireland,Camping,2,65
Lough Key Caravan and Camping Park,http://www.loughkey.ie,+353(0)719662212,-8.236114,53.980839,Roscommon,Boyle,Republic of Ireland,Camping,2,64
Streamstown Caravan and Camping Park,http://www.tipperarycaravanpark.com,+353(0)50521519,-7.839739,52.956649,Tipperary,Roscrea,Republic of Ireland,Camping,1,196
Roundwood Caravan and Camping Park,http://www.dublinwicklowcamping.com,+353(0)12818163,-6.222318767000001,53.06909915,Wicklow,Roundwood,Republic of Ireland,Camping,2,20
Tramore Beach Caravan and Camping Park,http://www.tramorebeachrosbeg.com,+353(0)749551491,-8.496765,54.809527,Donegal,Rosbeg,Republic of Ireland,Camping,1,85
Ocean Island Caravan and Camping Park,http://www.oceanislandmobilehomes.com/,+353(0)51397148,-6.8445350000000005,52.19997,Wexford,New Ross,Republic of Ireland,Camping,2,169
Eagle Point Camping,http://www.eaglepointcamping.com,+353(0)2750630,-9.453847999999999,51.719186,Cork,Ballylickey,Republic of Ireland,Camping,1,10
Knockalla Caravan & Camping Park,http://www.knockallacaravanpark.com,+353(0)749159108,-7.611285887,55.183705200000006,Donegal,Portsalon,Republic of Ireland,Camping,1,13
Newtown Cove Caravan and Camping Park,http://www.newtowncove.com,+353(0)51381979,-7.172575999999999,52.147718,Waterford,Tramore,Republic of Ireland,Camping,4,62
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland,Camping,4,15
Gyles Quay Caravan and Camping Park,http://www.gylesquaycaravanpark.ie,+353(0)429376262,-6.242929,53.988262,Louth,Dundalk,Republic of Ireland,Camping,1,100
Casey's Caravan and Camping Park,,+353(0)5841919,-7.547391999999999,52.095174,Waterford,Dungarvan,Republic of Ireland,Camping,2,150
Desert House Caravan and Camping Park,,+353(0)238833331,-8.875160000000001,51.622384999999994,Cork,Clonakilty,Republic of Ireland,Camping,1,147
Beech Grove Caravan and Camping Park,http://www.campingkillarney.com,+353(0)646671848,-9.581831,52.070958000000005,Kerry,Killarney,Republic of Ireland,Camping,3,16
Green Acres Caravan and Camping Park,http://www.greenacrescamping.ie,+353(0)659057011,-9.643485,52.620692000000005,Clare,Kilkee,Republic of Ireland,Camping,2,160
Wave Crest Caravan and Camping Park,http://www.wavecrestcamping.com,+353(0)669475188,-10.091125,51.758832,Kerry,Caherdaniel,Republic of Ireland,Camping,3,151
Powers the Pot Caravan and Camping Park,http://www.powersthepot.com,+353(0)526123085,-7.6227089999999995,52.32725,Tipperary,Clonmel,Republic of Ireland,Camping,5,14
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland,Self Catering,5,39
Westport House Caravan & Camping Park,http://www.westporthouse.ie/caravan-and-camping/,+353(0)9827766,-9.535621,53.800613,Mayo,Westport,Republic of Ireland,Camping,1,96
Carrowkeel Camping and Caravan Park,http://www.carrowkeelpark.ie,+353(0)949031264,-9.184605,53.909061,Mayo,Castlebar,Republic of Ireland,Camping,2,154
Knock Caravan and Camping Park,http://www.knock-shrine.ie/caravanpark,+353(0)949388223,-8.919139,53.787667000000006,Mayo,Knock,Republic of Ireland,Camping,1,159
The Apple Camping and Caravan Park,http://www.theapplefarm.com,+353(0)527441459,-7.842714,52.378712,Tipperary,Cahir,Republic of Ireland,Camping,5,172
Renvyle Beach Caravan and Camping Park,http://www.renvylebeachcaravanpark.com,+353(0)9543462,-9.984855,53.602784,Galway,Renvyle,Republic of Ireland,Camping,4,62
Mannix Point Camping and Caravan Park,http://www.campinginkerry.com,+353(0)669472806,-10.24526,51.941941,Kerry,Cahersiveen,Republic of Ireland,Camping,2,143
Fitzmaurice's Caravan & Camping Park,http://www.fitzmauricescaravanpark.com,+353(0)51381466,-7.138872,52.164454,Waterford,Tramore,Republic of Ireland,Camping,2,27
Campail Teach an Aragail,http://www.dingleactivities.com,+353(0)669155143,-10.355572,52.173038,Kerry,Dingle,Republic of Ireland,Camping,5,180
Carra Caravan and Camping Park,http://www.carracaravanpark.com/,+353(0)949032054,-9.215432,53.798768,Mayo,Castlebar,Republic of Ireland,Camping,5,115
Nagles Doolin Camping and Caravan Park,http://www.doolincamping.com,+353(0)657074458,-9.384729,53.016321999999995,Clare,Doolin,Republic of Ireland,Camping,1,123
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland,Camping,5,11
Sextons Caravan and Camping Park,http://www.sextonscamping.com,+353(0)872208088,-8.804424000000001,51.634252000000004,Cork,West Cork,Republic of Ireland,Camping,2,170
North Beach Caravan and Camping Park,http://www.northbeach.ie/,+353(0)18437131,-6.086624,53.525808999999995,Dublin,Rush,Republic of Ireland,Camping,5,79
Galey Bay Caravan and Camping Park,http://www.galeybaycamping.ie,+353(0)906661058,-8.066907,53.577144999999994,Roscommon,Roscommon,Republic of Ireland,Camping,5,166
Glen Ross Caravan and Camping Park,http://www.campingkerry.com,+353(0)871376865,-9.937182,52.059178,Kerry,Ring Of Kerry,Republic of Ireland,Camping,5,157
Keel Sandybanks Caravan and Camping Park,http://www.achillcamping.com,+353(0)9843211,-10.077045,53.974911999999996,Mayo,Achill Island -Acaill,Republic of Ireland,Camping,5,51
Cong Caravan and Camping Park,https://www.congcamping.com/,+353(0)949546089,-9.274104,53.536162,Mayo,Cong,Republic of Ireland,Camping,2,154
Blarney Caravan and Camping Park,http://www.blarneycaravanpark.com,+353(0)214516519,-8.5461,51.947423,Cork,Blarney,Republic of Ireland,Camping,3,96
"Belleek Park, Caravan and Camping Park",http://www.belleekpark.com/,+353(0)9671533,-9.156827,54.133439,Mayo,Ballina,Republic of Ireland,Camping,2,55
Lough Ramor Caravan and Camping Park,,+353(0)872825976,-7.049428,53.795701,Cavan,Virginia,Republic of Ireland,Camping,2,84
Moat Farm Caravan and Camping Park,,+353(0)45404727,-6.614989392000001,53.02107237,Wicklow,Dunlavin,Republic of Ireland,Camping,5,58
Rosguill Caravan and Camping Park,http://www.rosguillholidaypark.com,+353(0)749155766,-7.790903,55.242799,Donegal,Downings,Republic of Ireland,Camping,2,144
Corofin Village Camping and Caravan,http://www.corofincamping.com,+353(0)656837683,-9.064928,52.945496,Clare,Corofin,Republic of Ireland,Camping,2,29
Sir Rogers Caravan and Camping Park,http://www.sirrogers.com/,+353(0)667134730,-9.825253038,52.34021718,Kerry,Ardfert,Republic of Ireland,Camping,4,156
Adare Camping & Caravan Site,http://www.adarecamping.com,+353(0)61395376,-8.793513,52.538132999999995,Limerick,Adare,Republic of Ireland,Camping,3,12
The Trading Post Camper Park,http://www.wexfordcamping.com,+353(0)539127368,-6.40300672,52.45635449,Wexford,Enniscorthy,Republic of Ireland,Camping,3,94
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520045999999994,Tipperary,Cashel,Republic of Ireland,Self Catering,5,30
Clifden Campsite and Caravan Park,http://www.clifdencamping.com,+353(0)9522150,-10.018164,53.501827,Galway,Clifden,Republic of Ireland,Camping,3,33
Piker's Lodge,http://www.pikerslodge.com,+353(0)436683109,-7.53401,53.87286999999999,Cavan,Lough Gowna,Republic of Ireland,Self Catering,4,10
Lehinch Lodge,http://www.lehinchlodge.ie/,+353(0)657081242,-9.338958,52.93415600000001,Clare,Lahinch,Republic of Ireland,Self Catering,4,24
Charleville Lodge,http://www.charlevillelodge.ie,+353(0)18386633,-6.279831,53.35915,Dublin,Dublin City,Republic of Ireland,Self Catering,4,9
Riversdale Farm B&B,http://www.riversdaleholidays.com,+353(0)719644122,-7.794931,54.029499,Leitrim,Ballinamore,Republic of Ireland,B & B,3,17
Hanora's Cottage,http://www.hanorascottage.com,+353(0)526136134,-7.633908,52.277388,Waterford,Ballymacarbry,Republic of Ireland,Self Catering,4,25
The Maltings Bed and Breakfast,http://www.themaltingsbirr.com,+353(0)579121345,-7.914953,53.09438299999999,Offaly,Birr,Republic of Ireland,B & B,3,4
Harbour House B&B,http://www.harbourhousebb.com,+353(0)539425117,-6.229280279,52.64458283,Wexford,Gorey,Republic of Ireland,B & B,2,12
Shelburne Lodge,http://www.shelburnelodge.com,+353(0)646641013,-9.574873,51.882156,Kerry,Kenmare,Republic of Ireland,Self Catering,1,34
Killarney Lodge,http://www.killarneylodge.ie,+353(0)646636499,-9.505884,52.056616,Kerry,Killarney,Republic of Ireland,Self Catering,3,36
Old Weir Lodge,http://www.oldweirlodge.com,+353(0)646635593,-9.507253,52.051402,Kerry,Killarney,Republic of Ireland,Self Catering,3,4
Buttermilk Lodge,http://www.buttermilklodge.com,+353(0)9521951,-10.023553999999999,53.492107,Galway,Clifden,Republic of Ireland,Self Catering,5,28
Ballyvaughan Lodge,http://www.ballyvaughanlodge.com,+353(0)657077292,-9.146425,53.116108999999994,Clare,Ballyvaughan,Republic of Ireland,Self Catering,5,25
Lancaster Lodge,http://www.lancasterlodge.com,+353(0)214251125,-8.482349000000001,51.896605,Cork,Cork City,Republic of Ireland,Self Catering,2,17
Kingfisher Lodge,http://www.kingfisherlodgekillarney.com,+353(0)646637131,-9.506048302,52.06367276,Kerry,Killarney,Republic of Ireland,Self Catering,1,29
Abbey Lodge,http://www.abbey-lodge.com,+353(0)646634193,-9.506673,52.055283,Kerry,Killarney,Republic of Ireland,Self Catering,5,5
Fairview Boutique Hotel,,,-9.506402442999999,52.06002101,Kerry,Killarney,Republic of Ireland,Hotel,5,292
Wineport Lodge,http://www.wineport.ie,+353(0)906439010,-7.885414999999999,53.46501,Westmeath,Athlone,Republic of Ireland,Self Catering,4,16
Buswells Hotel,http://www.buswells.ie,+353(0)16146500,-6.255780000000001,53.340756000000006,Dublin,Dublin 2,Republic of Ireland,Hotel,5,98
Imperial Hotel,http://www.imperialhoteltralee.com,+353(0)667127755,-9.705207312,52.26847608,Kerry,Tralee,Republic of Ireland,Hotel,2,245
Óstán Loch Altan Hotel,http://www.ostanlochaltan.com/,+353(0)749135267,-8.133193902,55.12167518,Donegal,Gortahork,Republic of Ireland,Hotel,4,111
Ballyliffin Hotel,http://www.ballyliffinhotel.com,+353(0)749376106,-7.3939520000000005,55.277699,Donegal,Ballyliffin,Republic of Ireland,Hotel,1,135
Lucan Spa Hotel,http://www.lucanspahotel.ie,+353(0)16280494,-6.463621525,53.35565294,Dublin,Lucan,Republic of Ireland,Hotel,1,261
Grand Hotel,http://www.thegrand.ie/,+353(0)18450000,-6.147392,53.450753000000006,Dublin,Malahide,Republic of Ireland,Hotel,2,222
Leens Hotel,http://www.leensabbeyfeale.com,+353(0)6831121,-9.300899009,52.38501894,Limerick,Abbeyfeale,Republic of Ireland,Hotel,3,235
Butler Arms Hotel,http://www.butlerarms.com,+353(0)669474144,-10.17266742,51.82793514,Kerry,Waterville,Republic of Ireland,Hotel,4,59
Lake Hotel,http://www.lakehotelkillarney.com,+353(0)646631035,-9.499806,52.038284000000004,Kerry,Killarney,Republic of Ireland,Hotel,3,52
Lansdowne Arms Hotel,http://www.lansdownearms.com/,+353(0)646641368,-9.581516843,51.87902123,Kerry,Kenmare,Republic of Ireland,Hotel,1,382
Dooley's Hotel Waterford,http://www.dooleys-hotel.ie,+353(0)51873531,-7.1155992370000005,52.26286088,Waterford,Waterford City,Republic of Ireland,Hotel,4,226
Bush Hotel,http://www.bushhotel.com,+353(0)719671000,-8.093960883,53.94616725,Leitrim,Carrick On Shannon,Republic of Ireland,Hotel,5,371
Club House Hotel,http://www.clubhousehotel.com,+353(0)567721994,-7.2517088979999995,52.64933173,Kilkenny,Kilkenny City,Republic of Ireland,Hotel,1,72
Kildare Street Hotel,http://www.thekeycollection.ie/kildare-street-hotel.html,+353(0)16794643,-6.254751787999999,53.34202121,Dublin,Dublin City,Republic of Ireland,Hotel,3,235
Beach Hotel,http://www.beachhotel.ie/,+353(0)749155303,-7.834058085,55.19457429,Donegal,Letterkenny,Republic of Ireland,Hotel,3,313
Kee's Hotel,http://www.keeshotel.ie,+353(0)749131018,-7.769173297,54.80470775,Donegal,Ballybofey,Republic of Ireland,Hotel,1,210
Westcourt Hotel,http://www.westcourt.ie,+353(0)419830965,-6.353717757999999,53.71498045,Louth,Drogheda,Republic of Ireland,Hotel,2,314
Friar's Lodge,http://www.friars-lodge.com,+353(0)214777384,-8.526748,51.707142,Cork,Kinsale,Republic of Ireland,Self Catering,3,21
Conyngham Arms Hotel,http://www.conynghamarms.ie,+353(0)419884444,-6.544717638,53.70858849,Meath,Slane,Republic of Ireland,Hotel,5,330
Hunters Hotel,http://www.hunters.ie,+353(0)40440106,-6.084139254,53.00638334,Wicklow,Rathnew,Republic of Ireland,Hotel,5,382
Holyrood Hotel,http://www.holyroodhotel.com,+353(0)719841232,-8.279842897,54.47794713,Donegal,Bundoran,Republic of Ireland,Hotel,2,247
"Central Hotel, Conference and Leisure Centre",https://www.facebook.com/pg/centralhoteldonegal/about/,+353(0)749721027,-8.11079991,54.65349121,Donegal,Donegal Town,Republic of Ireland,Hotel,1,350
Gougane Barra Hotel,http://www.gouganebarrahotel.com/,+353(0)2647069,-9.317003442999999,51.83885451,Cork,Ballingeary,Republic of Ireland,Hotel,3,216
Dorrian’s Imperial Hotel,http://www.dorriansimperialhotel.com,+353(0)719851147,-8.191242321,54.50200653,Donegal,Ballyshannon,Republic of Ireland,Hotel,1,120
Bay View Hotel,http://www.thebayviewhotel.com,+353(0)214646746,-8.004682288,51.82789088,Cork,Ballycotton,Republic of Ireland,Hotel,2,328
The Wyatt Hotel,http://www.wyatthotel.com,+353(0)9825027,-9.525306187,53.7992632,Mayo,Westport,Republic of Ireland,Hotel,5,53
"Yeats Country Hotel, Spa and Leisure Club",http://www.yeatscountryhotel.com,+353(0)719177211,-8.565388577,54.30584497,Sligo,Rosses Point,Republic of Ireland,Hotel,2,239
Talbot Hotel,https://www.talbotwexford.ie,+353(0)539122566,-6.457355915,52.33576356,Wexford,Wexford Town,Republic of Ireland,Hotel,1,255
Arbutus Hotel,http://www.arbutuskillarney.com,+353(0)646631037,-9.506098047,52.05955281,Kerry,Killarney,Republic of Ireland,Hotel,2,66
Casey's Hotel,http://www.caseyshotelglengarriff.ie,+353(0)2763010,-9.551403594,51.74987319,Cork,Glengarriff,Republic of Ireland,Hotel,5,173
Bridge Hotel,http://www.arklowbridgehotel.com,+353(0)40231666,-6.15244,52.798163,Wicklow,Arklow,Republic of Ireland,Hotel,5,323
Foyles Hotel,http://www.foyleshotel.com,+353(0)9521801,-10.02271322,53.48861170000001,Galway,Clifden,Republic of Ireland,Hotel,4,151
Killarney Towers Hotel & Leisure Centre,http://www.killarneytowers.com,+353(0)646631038,-9.507063907000001,52.05867833,Kerry,Killarney,Republic of Ireland,Hotel,1,233
International Hotel Killarney,http://www.killarneyinternational.com,+353(0)646631816,-9.506947223,52.05810839,Kerry,Killarney,Republic of Ireland,Hotel,3,314
Dooly's Hotel,http://www.doolyshotel.com,+353(0)579120032,-7.9105450170000005,53.09570472,Offaly,Birr,Republic of Ireland,Hotel,2,109
Kelly's Resort Hotel,http://www.kellys.ie,+353(0)539132114,-6.387773999999999,52.275493,Wexford,Rosslare,Republic of Ireland,Hotel,1,109
The Metropole Hotel,http://www.themetropolehotel.ie,+353(0)214643700,-8.467587974,51.90130927,Cork,Cork City,Republic of Ireland,Hotel,4,229
Ashford Castle Hotel,http://www.ashfordcastle.com/,+353(0)949546003,-9.284591897,53.53450825,Mayo,Cong,Republic of Ireland,Hotel,5,132
Ryan's Hotel,http://www.ryanshotelcong.ie,+353(0)949546243,-9.28634747,53.54132409,Mayo,Cong,Republic of Ireland,Hotel,2,261
Hayes Hotel,http://www.hayeshotel.com,+353(0)50422122,-7.8121835420000005,52.67930708,Tipperary,Thurles,Republic of Ireland,Hotel,1,332
Muckross Park Hotel & Spa,http://www.muckrosspark.com,+353(0)646623400,-9.489138719,52.02461985,Kerry,Killarney,Republic of Ireland,Hotel,3,297
Maple Hotel,http://www.maplehotel.com,+353(0)18555442,-6.254402,53.351114,Dublin,Dublin City,Republic of Ireland,Hotel,3,60
Marine Hotel,http://www.marinehotel.ie,+353(0)18390000,-6.110418,53.388729000000005,Dublin,Sutton,Republic of Ireland,Hotel,2,216
Towers Hotel,http://www.towershotel.com,+353(0)669768212,-9.940233000000001,52.056067999999996,Kerry,Glenbeigh,Republic of Ireland,Hotel,5,266
Hearn's Hotel,http://www.hearnshotel.com,+353(0)526121611,-7.698001565,52.35357851,Tipperary,Clonmel,Republic of Ireland,Hotel,2,78
Shandon Hotel & Spa,http://www.shandonhotelspa.com/,+353(0)749136137,-7.906772,55.179869999999994,Donegal,Dunfanaghy,Republic of Ireland,Hotel,4,101
Taravie Hotel,,+353(0)539425208,-6.228037606,52.6453262,Wexford,Courtown,Republic of Ireland,Hotel,1,340
West Cork Hotel,http://www.westcorkhotel.com,+353(0)2821277,-9.270709933,51.55082936,Cork,Skibbereen,Republic of Ireland,Hotel,5,321
Great Northern Hotel,http://www.greatnorthernhotel.com,+353(0)719841204,-8.276235164,54.48512275,Donegal,Bundoran,Republic of Ireland,Hotel,4,354
Castle Hotel,http://www.castlehotel.ie,+353(0)2641074,-8.958433517000001,51.90486745,Cork,Macroom,Republic of Ireland,Hotel,2,347
Riu Plaza The Gresham Hotel,http://www.riu.com/en/hotel/ireland/dublin/hotel-riu-plaza-the-gresham-dublin,+353(0)18746881,-6.260294999999999,53.351659999999995,Dublin,Dublin City,Republic of Ireland,Hotel,4,185
Glenview Hotel,http://www.glenviewhotel.com,+353(0)12873399,-6.127077771000001,53.14226099,Wicklow,Glen of the Downs,Republic of Ireland,Hotel,5,387
Royal Hotel and Merrill Leisure Centre,http://www.royalhotel.ie,+353(0)12862935,-6.108779772999999,53.20484128,Wicklow,Bray,Republic of Ireland,Hotel,2,125
Bailie Hotel,http://www.bailiehotel.com,+353(0)429665334,-6.969569449,53.91608037,Cavan,Bailieborough,Republic of Ireland,Hotel,2,295
Ashling Hotel Dublin,http://www.ashlinghotel.ie,+353(0)16772324,-6.290814062000001,53.34808302,Dublin,Dublin City,Republic of Ireland,Hotel,4,243
Queens Hotel,http://www.queenshotelennis.com,+353(0)656828963,-8.981618685,52.84541384,Clare,Ennis,Republic of Ireland,Hotel,3,261
Barry's Hotel,http://www.barryshotel.com,+353(0)18749407,-6.262855,53.355329000000005,Dublin,Dublin City,Republic of Ireland,Hotel,2,95
O'Shea's Hotel,http://www.osheas-hotel.com,+353(0)51381246,-7.150324962000001,52.15990755,Waterford,Tramore,Republic of Ireland,Hotel,5,146
Munster Arms Hotel,http://www.munsterarmshotel.ie,+353(0)238841562,-8.733748497,51.74518113,Cork,Bandon,Republic of Ireland,Hotel,3,79
Abbey Hotel,http://www.abbeyhoteldonegal.com,+353(0)749721014,-8.110815528,54.65373426,Donegal,Donegal,Republic of Ireland,Hotel,1,344
The North Star Hotel,http://www.northstarhotel.ie,+353(0)18363136,-6.250083999999999,53.35165751,Dublin,Dublin 1,Republic of Ireland,Hotel,4,275
Courtmacsherry Hotel,http://www.courtmacsherryhotel.ie,+353(0)238846198,-8.699673661,51.63330887,Cork,West Cork,Republic of Ireland,Hotel,2,227
Skeffington Arms Hotel,http://www.skeffington.ie,+353(0)91563173,-9.049887919,53.27406517,Galway,Galway City,Republic of Ireland,Hotel,3,376
Dergvale Hotel,http://www.dergvalehotel.com,+353(0)18744753,-6.260738798999999,53.3561088,Dublin,Dublin 1,Republic of Ireland,Hotel,4,111
Glendalough Hotel,http://www.glendaloughhotel.com,+353(0)40445135,-6.325768763999999,53.01140875,Wicklow,Glendalough,Republic of Ireland,Hotel,3,261
Garryvoe Hotel,http://www.garryvoehotel.com,+353(0)214646718,-8.004380937999999,51.85921787,Cork,Castlemartyr,Republic of Ireland,Hotel,5,308
Longford Arms Hotel,http://www.longfordarms.ie,+353(0)433346296,-7.801731,53.728749,Longford,Longford,Republic of Ireland,Hotel,1,278
Twin Trees Hotel & Leisure Club,http://www.twintreeshotel.ie,+353(0)9621033,-9.135653999999999,54.117456000000004,Mayo,Ballina,Republic of Ireland,Hotel,3,208
Ravine Hotel,http://www.ravinehotel.net,+353(0)657074043,-9.289899983,53.03019971,Clare,Lisdoonvarna,Republic of Ireland,Hotel,5,176
Wards Hotel,,+353(0)91581508,-9.067949449,53.26703337,Galway,Galway City,Republic of Ireland,Hotel,2,314
Grand Hotel,http://www.grandhotel.ie,+353(0)40467337,-6.047372677,52.98069237,Wicklow,Wicklow Town,Republic of Ireland,Hotel,2,97
McGettigan's Hotel,http://www.mcgettiganshotel.com/,+353(0)749122066,-7.735648097,54.95199921,Donegal,Letterkenny,Republic of Ireland,Hotel,5,109
Wynn's Hotel,http://www.wynnshotel.ie,+353(0)18745131,-6.258742985,53.34838883,Dublin,Dublin City,Republic of Ireland,Hotel,5,313
Bel-Air Hotel,http://www.belairhotelequestrian.com,+353(0)40440109,-6.1226128410000005,53.00199633,Wicklow,Ashford,Republic of Ireland,Hotel,3,329
Glen Hotel,http://www.theglenhotel.weebly.com,+353(0)749520505,-8.499613698,54.99006988,Donegal,Arranmore -Árainn Mhór,Republic of Ireland,Hotel,3,389
Imperial Hotel,http://www.imperialhotelgalway.ie,+353(0)91563033,-9.050906658999999,53.27460434,Galway,Galway City,Republic of Ireland,Hotel,2,181
Parknasilla Hotel,http://www.parknasillaresort.com,+353(0)646675600,-9.874794999999999,51.815675,Kerry,Sneem,Republic of Ireland,Hotel,4,255
Dunraven Arms Hotel,http://www.dunravenhotel.com,+353(0)61605900,-8.786761762000001,52.56551429999999,Limerick,Adare,Republic of Ireland,Hotel,3,119
Jackson's Hotel,http://www.jacksons-hotel.ie,+353(0)749131021,-7.784642,54.79999,Donegal,Ballybofey,Republic of Ireland,Hotel,2,294
Renvyle House Hotel,http://www.renvyle.com,+353(0)9546100,-10.001679,53.609004000000006,Galway,Connemara,Republic of Ireland,Hotel,1,357
Imperial Hotel,http://www.imperialhotel.ie/,+353(0)657074042,-9.289723,53.028335999999996,Clare,Lisdoonvarna,Republic of Ireland,Hotel,5,243
Old Ground Hotel,http://www.oldgroundhotelennis.com,+353(0)656828127,-8.983300839,52.84220985,Clare,Ennis,Republic of Ireland,Hotel,2,139
O'Donovan's Hotel,http://www.odonovanshotel.com,+353(0)238833250,-8.889939883,51.62303021,Cork,Clonakilty,Republic of Ireland,Hotel,2,314
Strand Hotel,https://strandhotel.ie/,+353(0)9843241,-10.02836746,54.01159271,Mayo,Achill Island -Acaill,Republic of Ireland,Hotel,5,102
